, Trial_ID,pos,Percent_Captures,Capture_Count,RSSI,Time_to_Discovery,Trial,Listener Latency,Adv Latency,Adv Power
157,19.0,8.4,0.09532176586865802,868.0,-99.67396313364056,3600.0,19.0,Low_Latency,Low_Latency,Low
158,19.0,9.6,0.1294750713815067,1179.0,-98.62086513994909,3600.0,19.0,Low_Latency,Low_Latency,Low
159,19.0,10.8,0.004063254996705469,37.0,-102.62162162162164,3606.0,19.0,Low_Latency,Low_Latency,Low
160,20.0,1.2,0.5165753067084312,1979.0,-93.63062152602323,4560.0,20.0,Low_Latency,Low_Latency,Ultra_low
161,20.0,2.4,0.020099190811798485,77.0,-101.97402597402599,4561.0,20.0,Low_Latency,Low_Latency,Ultra_low
162,20.0,3.6,0.00026102845210127906,1.0,-106.0,4696.0,20.0,Low_Latency,Low_Latency,Ultra_low
163,20.0,4.8,0.00026102845210127906,1.0,-105.0,4836.0,20.0,Low_Latency,Low_Latency,Ultra_low
164,20.0,6.0,0.2490211433046202,954.0,-99.16981132075472,4560.0,20.0,Low_Latency,Low_Latency,Ultra_low
165,20.0,7.199999999999998,0.16366483946750196,627.0,-99.28548644338116,4560.0,20.0,Low_Latency,Low_Latency,Ultra_low
166,20.0,8.4,0.0028713129731140694,11.0,-102.54545454545456,4594.0,20.0,Low_Latency,Low_Latency,Ultra_low
167,20.0,9.6,0.04724614983033151,181.0,-101.8618784530387,4560.0,20.0,Low_Latency,Low_Latency,Ultra_low
168,21.0,1.2,0.09854198089492207,196.0,-74.42857142857143,3279.0,21.0,Low_Latency,Low_Power,High
169,21.0,2.4,0.11060834590246356,220.0,-83.31363636363636,3279.0,21.0,Low_Latency,Low_Power,High
170,21.0,3.6,0.09351432880844646,186.0,-91.76881720430107,3278.0,21.0,Low_Latency,Low_Power,High
171,21.0,4.8,0.09351432880844646,186.0,-91.90860215053765,3279.0,21.0,Low_Latency,Low_Power,High
172,21.0,6.0,0.10005027652086476,199.0,-83.15075376884423,3279.0,21.0,Low_Latency,Low_Power,High
173,21.0,7.199999999999998,0.1111111111111111,221.0,-84.0452488687783,3278.0,21.0,Low_Latency,Low_Power,High
174,21.0,8.4,0.10809451985922576,215.0,-89.62325581395348,3279.0,21.0,Low_Latency,Low_Power,High
175,21.0,9.6,0.10407239819004524,207.0,-85.44444444444444,3278.0,21.0,Low_Latency,Low_Power,High
176,21.0,10.8,0.11362493715434893,226.0,-93.93362831858408,3279.0,21.0,Low_Latency,Low_Power,High
177,21.0,12.0,0.06686777275012569,133.0,-99.14285714285714,3279.0,21.0,Low_Latency,Low_Power,High
178,22.0,1.2,0.11347517730496455,224.0,-80.45535714285714,4059.0,22.0,Low_Latency,Low_Power,Medium
179,22.0,2.4,0.10840932117527864,214.0,-94.57476635514018,4058.0,22.0,Low_Latency,Low_Power,Medium
